month,year,visitors,season,country,avg_temp,hotel_price,event_count,target
1,2020,5000,Winter,USA,5,150,2,Low
2,2020,5500,Winter,USA,7,155,3,Low
3,2020,8000,Spring,USA,15,180,5,Medium
4,2020,9500,Spring,USA,18,200,6,Medium
5,2020,12000,Spring,USA,22,220,8,High
6,2020,15000,Summer,USA,28,250,10,High
7,2020,18000,Summer,USA,30,270,12,High
8,2020,16000,Summer,USA,29,260,11,High
9,2020,11000,Fall,USA,20,210,7,Medium
10,2020,9000,Fall,USA,15,190,5,Medium
11,2020,6000,Fall,USA,10,170,4,Low
12,2020,5500,Winter,USA,6,160,3,Low
1,2021,5200,Winter,Canada,3,140,2,Low
2,2021,5800,Winter,Canada,5,145,3,Low
3,2021,8500,Spring,Canada,12,175,5,Medium
4,2021,10000,Spring,Canada,16,195,6,Medium
5,2021,13000,Spring,Canada,20,215,8,High
6,2021,16000,Summer,Canada,26,245,10,High
7,2021,19000,Summer,Canada,28,265,12,High
8,2021,17000,Summer,Canada,27,255,11,High
9,2021,12000,Fall,Canada,18,205,7,Medium
10,2021,9500,Fall,Canada,13,185,5,Medium
11,2021,6500,Fall,Canada,8,165,4,Low
12,2021,6000,Winter,Canada,4,155,3,Low
1,2022,5500,Winter,UK,6,145,2,Low
2,2022,6000,Winter,UK,8,150,3,Low
3,2022,9000,Spring,UK,14,180,5,Medium
4,2022,10500,Spring,UK,17,200,6,Medium
5,2022,14000,Spring,UK,21,220,8,High
6,2022,17000,Summer,UK,27,250,10,High
7,2022,20000,Summer,UK,29,270,12,High
8,2022,18000,Summer,UK,28,260,11,High
9,2022,13000,Fall,UK,19,210,7,Medium
10,2022,10000,Fall,UK,14,190,5,Medium
11,2022,7000,Fall,UK,9,170,4,Low
12,2022,6500,Winter,UK,7,160,3,Low
1,2023,6000,Winter,Australia,-25,160,3,Low
2,2023,6500,Winter,Australia,-23,165,4,Low
3,2023,9500,Spring,Australia,-15,185,6,Medium
4,2023,11000,Spring,Australia,-10,205,7,Medium
5,2023,15000,Spring,Australia,-5,225,9,High
6,2023,18000,Summer,Australia,0,255,11,High
7,2023,21000,Summer,Australia,2,275,13,High
8,2023,19000,Summer,Australia,1,265,12,High
9,2023,14000,Fall,Australia,-8,215,8,Medium
10,2023,11000,Fall,Australia,-12,195,6,Medium
11,2023,7500,Fall,Australia,-18,175,5,Low
12,2023,7000,Winter,Australia,-22,165,4,Low
